Date,Revenue,SEM,SEMCard,SEMPBook,SEMOther,SEMBrand,Display,FB,Affiliate,Partners,TV,TVImpression,DM,SEM_LTA,Display_LTA,FB_LTA,Affiliates_LTA,Partners_LTA,SEM_MTA,Display_MTA,FB_MTA,Affiliates_MTA,Partners_MTA
6/26/2013,1150253.67,24993.48767,14976.97009,1900.228191,4273.745419,3842.54397,21382.21368,5166.34805,3942,50559,0,0,165955.0472,140278.06,65566.09,10677.45,35144.19,131072.18,107106.91,50412.59886,8209.701138,19288.18,186428.66
6/27/2013,731150.24,20708.0953,11739.01467,1772.968563,3935.428549,3260.683518,19221.96027,5096.859015,3262,35382,0,0,165955.0472,96377.31,55092.13,7745.66,25188.9,97366.52,75137.59,40877.82549,5747.204507,11545.64,135878.93
6/28/2013,565538.3,15264.64774,7503.589854,1468.323837,3271.680276,3021.053773,16330.75219,5096.859015,2253,17710,0,0,165955.0472,88841.01,44625.75,7654.41,18757.78,57441.91,67131.75,34138.96985,5855.67015,9602.3,78128.02
6/29/2013,606182.47,15204.44893,6345.954673,2538.530846,3392.05645,2927.906959,11731.86221,4947.261422,2195,15488,0,0,165955.0472,86616.87,38927.98,5318.31,20604.62,53566.15,65935.81,35357.10952,4830.460484,12849.29,72614.59
6/30/2013,898029.65,19641.88639,7972.776086,4295.980316,4015.18636,3357.943631,10608.78496,4947.261422,2661,22832,0,0,165955.0472,123592.89,57261.88,7284.83,30779.61,81915.12,99852.69,56147.11934,7143.010662,16543,113217.04
7/1/2013,816414.35,25497.28947,12391.62242,5853.727857,3407.678067,3844.261131,7964.007301,5299.858357,3338,15761,0,0,298437.9701,119143.3,55926.95,10313.31,23436.22,73045.54,101322.88,41565.81161,7665.018394,13365.25,91945.78
7/2/2013,765234.56,22735.77463,11350.5754,5873.084645,2299.833029,3212.281552,9105.736379,5299.868361,2145,15023,0,0,298437.9701,108497.69,59408.44,8756.23,26067.65,69269.37,92700.12,41093.37378,6056.766216,14170.8,89575.8
7/3/2013,584545.76,19130.51286,8685.802347,5455.137109,2045.009315,2944.564088,7849.068133,3233.040855,2032,12816,0,0,298437.9701,87587.12,48929.22,5525.51,18748.99,54977.99,74774.38,33025.0376,3729.472399,10505.32,68395.7
7/4/2013,428324.37,12875.73377,4901.996463,4194.77624,1409.989577,2368.971485,5835.504174,3233.040855,1595,10063,0,0,298437.9701,70880.22,39711.41,3813.87,14960.29,43772.36,58379.45,25351.36384,2434.736163,7935.97,52342.97
7/5/2013,693563.54,17195.92592,6172.746717,6039.336388,1789.780936,3194.061879,8878.412245,3262.334,2304,13690,0,0,298437.9701,92450.53,53934.66,5283.61,26345.55,54860.86,78919.93,34793.69911,3408.500889,16314.96,67458.7
7/6/2013,770849.19,16184.2643,5260.046789,5959.239583,1719.701947,3245.27598,9425.011848,3262.334,3450,15472,0,0,298437.9701,100952.82,52039.41,4349.37,26390.18,57535.21,85114.04,40365.16461,3373.655389,16147.68,80657.1
7/7/2013,1466021.8,21223.02853,7182.483408,7089.427393,2488.492901,4462.624833,15199.21513,2906.064121,5069,24219,0,0,298437.9701,175584.73,89790.41,9523.74,56606.55,89489.13,144105.67,67969.90144,7209.318558,33607.94,134233.35
7/8/2013,818564.01,24895.3843,9874.826538,8036.336163,2919.618678,4064.602922,9866.037696,2906.064121,5045,15665,0,0,298437.9701,120151.11,68903.21,4398.12,27364.8,71775.32,108179.06,48540.36848,3098.35152,15367.06,91410.54
7/9/2013,847736.99,22603.43645,8492.88834,7311.98976,3033.989159,3764.569189,11342.36747,2680.77302,2978,13450,0,0,298437.9701,136418.35,75779.43,4092.36,31728.59,64143.23,104897.62,52210.67689,2819.563114,17097.48,95556.63
7/10/2013,917005.21,20709.29124,7502.071159,6801.860913,2926.442858,3478.916312,11604.59905,2680.77302,3539,13402,0,0,298437.9701,149681.24,77929.74,3328.78,38618.5,68361.07,108353.54,49749.63713,2125.062872,17208.04,94692.65
7/11/2013,612635.31,18279.9519,6580.53478,5743.18478,2526.419579,3429.812757,11791.05592,2480.913331,2901,11556,0,0,298437.9701,90519.74,53361,2533.72,21985.67,50336.32,76862.67,36452.59533,1730.864673,10933.94,59062.36
7/12/2013,511015.11,15856.14686,5490.745319,5338.229668,2212.245215,2814.926661,9146.603639,2480.913331,1989,10376,0,0,298437.9701,78074.06,46088.53,2440.85,18619.5,48886.54,63797.67,32374.31525,1714.544755,8882.87,57734.1
